,value
BMI_mean,27.82106632152662
BMI_sd,6.194195400673982
Sex_Female_percent,59.2
Sex_Male_percent,40.8
Income_group_5.0_percent,44.2
Income_group_2.0_percent,17.7
Income_group_4.0_percent,14.6
Income_group_1.0_percent,12.0
Income_group_3.0_percent,11.5
heart_attack_prevalence_%,5.97186526368768
coronary_hd_prevalence_%,6.038870020289925
stroke_prevalence_%,4.113400945457334
kidney_prevalence_%,3.344277756640681
depression_prevalence_%,18.85811731338216
diabetes_prevalence_%,12.756493771722754
