Section,Category,2011,2012,2013,2014,2015,All years
Sex,Male,"198,786 (39.3%)","191,693 (40.3%)","201,215 (40.9%)","192,880 (41.5%)","186,878 (42.3%)","971,452 (40.8%)"
Sex,Female,"307,616 (60.7%)","283,908 (59.7%)","290,443 (59.1%)","271,619 (58.5%)","254,474 (57.7%)","1,408,060 (59.2%)"
Age group,18–24,"23,065 (4.6%)","24,893 (5.2%)","27,183 (5.5%)","24,196 (5.2%)","24,187 (5.5%)","123,524 (5.2%)"
Age group,25–29,"21,977 (4.3%)","21,507 (4.5%)","22,903 (4.7%)","19,888 (4.3%)","19,742 (4.5%)","106,017 (4.5%)"
Age group,30–34,"27,599 (5.5%)","26,264 (5.5%)","27,208 (5.5%)","23,661 (5.1%)","22,916 (5.2%)","127,648 (5.4%)"
Age group,35–39,"29,928 (5.9%)","27,603 (5.8%)","28,091 (5.7%)","25,440 (5.5%)","24,541 (5.6%)","135,603 (5.7%)"
Age group,40–44,"35,096 (6.9%)","32,093 (6.7%)","31,470 (6.4%)","28,586 (6.2%)","25,939 (5.9%)","153,184 (6.4%)"
Age group,45–49,"40,873 (8.1%)","36,576 (7.7%)","36,178 (7.4%)","32,677 (7.0%)","30,271 (6.9%)","176,575 (7.4%)"
Age group,55–59,"54,981 (10.9%)","50,521 (10.6%)","52,482 (10.7%)","49,417 (10.6%)","46,201 (10.5%)","253,602 (10.7%)"
Age group,65–69,"47,773 (9.4%)","47,085 (9.9%)","50,019 (10.2%)","50,669 (10.9%)","49,258 (11.2%)","244,804 (10.3%)"
Age group,70–74,"39,110 (7.7%)","37,299 (7.8%)","39,988 (8.1%)","40,157 (8.6%)","38,359 (8.7%)","194,913 (8.2%)"
Age group,75–79,"31,554 (6.2%)","28,703 (6.0%)","30,092 (6.1%)","29,308 (6.3%)","28,229 (6.4%)","147,886 (6.2%)"
Age group,80+,"42,075 (8.3%)","39,438 (8.3%)","40,588 (8.3%)","38,836 (8.4%)","36,757 (8.3%)","197,694 (8.3%)"
Age group,14.0,"4,945 (1.0%)","4,550 (1.0%)","4,679 (1.0%)","5,716 (1.2%)","5,282 (1.2%)","25,172 (1.1%)"
Education,< High school,"46,418 (9.2%)","42,350 (8.9%)","42,128 (8.6%)","37,000 (8.0%)","34,257 (7.8%)","202,153 (8.5%)"
Education,High school graduate,"149,381 (29.5%)","139,493 (29.3%)","142,941 (29.1%)","131,301 (28.3%)","123,213 (27.9%)","686,329 (28.8%)"
Education,Some college,"136,049 (26.9%)","128,388 (27.0%)","134,221 (27.3%)","125,614 (27.0%)","120,506 (27.3%)","644,778 (27.1%)"
Education,College graduate,"172,634 (34.1%)","163,459 (34.4%)","170,127 (34.6%)","166,870 (35.9%)","161,595 (36.6%)","834,685 (35.1%)"
Income,<$15k,"55,335 (10.9%)","51,641 (10.9%)","52,168 (10.6%)","44,137 (9.5%)","38,047 (8.6%)","241,328 (10.1%)"
Income,$15–25k,"79,434 (15.7%)","74,460 (15.7%)","76,616 (15.6%)","68,037 (14.6%)","59,164 (13.4%)","357,711 (15.0%)"
Income,$25–35k,"51,742 (10.2%)","47,351 (10.0%)","48,860 (9.9%)","44,311 (9.5%)","39,233 (8.9%)","231,497 (9.7%)"
Income,$35–50k,"64,474 (12.7%)","59,873 (12.6%)","61,504 (12.5%)","57,415 (12.4%)","52,051 (11.8%)","295,317 (12.4%)"
Income,$50–75k,"181,886 (35.9%)","175,585 (36.9%)","181,209 (36.9%)","179,311 (38.6%)","173,429 (39.3%)","891,420 (37.5%)"
Race,White,0 (0.0%),0 (0.0%),"400,557 (81.5%)","380,066 (81.8%)","359,119 (81.4%)","1,139,742 (47.9%)"
Race,Black,0 (0.0%),0 (0.0%),"41,020 (8.3%)","36,687 (7.9%)","35,899 (8.1%)","113,606 (4.8%)"
Race,Asian,0 (0.0%),0 (0.0%),"9,095 (1.8%)","8,315 (1.8%)","7,941 (1.8%)","25,351 (1.1%)"
Race,Native American,0 (0.0%),0 (0.0%),"9,847 (2.0%)","9,625 (2.1%)","10,113 (2.3%)","29,585 (1.2%)"
Race,Other / Multiracial,0 (0.0%),0 (0.0%),"1,933 (0.4%)","2,075 (0.4%)","1,743 (0.4%)","5,751 (0.2%)"
Race,6.0,0 (0.0%),0 (0.0%),"10,641 (2.2%)","8,971 (1.9%)","8,670 (2.0%)","28,282 (1.2%)"
Hispanic ethnicity,Hispanic,0 (0.0%),0 (0.0%),"37,051 (7.5%)","35,833 (7.7%)","35,793 (8.1%)","108,677 (4.6%)"
Hispanic ethnicity,Non-Hispanic,0 (0.0%),0 (0.0%),"449,212 (91.4%)","424,229 (91.3%)","401,453 (91.0%)","1,274,894 (53.6%)"
BMI (continuous),BMI mean (SD); median [Q1–Q3],27.7 (6.0); 26.6 [23.6–30.6],27.7 (6.0); 26.6 [23.6–30.7],27.8 (6.2); 26.6 [23.7–30.8],27.9 (6.1); 26.9 [23.7–30.9],28.0 (6.7); 26.9 [23.7–30.9],27.8 (6.2); 26.6 [23.7–30.8]
